location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-03T22:15:00Z,2020-11-04T03:45:00+05:30,pm25,23.22,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-03T19:30:00Z,2020-11-04T01:00:00+05:30,no2,8.25,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-03T19:30:00Z,2020-11-04T01:00:00+05:30,o3,44.02,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-03T19:30:00Z,2020-11-04T01:00:00+05:30,so2,6.88,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-03T19:30:00Z,2020-11-04T01:00:00+05:30,co,360,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-03T19:30:00Z,2020-11-04T01:00:00+05:30,pm25,21.31,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-03T19:00:00Z,2020-11-04T00:30:00+05:30,o3,51.3,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-03T19:00:00Z,2020-11-04T00:30:00+05:30,so2,6.97,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-03T19:00:00Z,2020-11-04T00:30:00+05:30,no2,10.43,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-03T19:00:00Z,2020-11-04T00:30:00+05:30,pm25,23.04,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-03T19:00:00Z,2020-11-04T00:30:00+05:30,co,530,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-03T18:45:00Z,2020-11-04T00:15:00+05:30,pm25,23.04,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-03T18:45:00Z,2020-11-04T00:15:00+05:30,so2,6.9,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-03T18:45:00Z,2020-11-04T00:15:00+05:30,no2,11.96,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2020-11-03T18:45:00Z,2020-11-04T00:15:00+05:30,co,520,µg/m³,12.9135218,77.5950804,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
